symbol,entry_type,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,risk_pct,overall_score,prior_advance_pct,position_in_base
GOOGL,cheat,2024-12-04,173.60440063476562,163.09755058317745,205.12495078953015,2024-12-11,185.22563648210803,trailing_stop,6.694090590359818,5,12.309569042484021,1.4394661024066853,6.052179560639603,93.33333333333334,30.074648550698914,middle_third
META,low_cheat,2024-05-01,436.9622497558594,404.1495356589233,535.4003920466675,2024-05-31,456.0499363858009,trailing_stop,4.3682690302437415,21,9.861335821309208,1.5733458317709983,7.509278917176318,100.0,73.9298396527719,lower_third
MU,cheat,2023-09-27,67.5221176147461,64.75530542521432,75.82255418334142,2023-09-28,64.75530542521432,stop,-4.097638355061801,1,0.0,6.421338696521096,4.097638355061801,100.0,42.00361121085266,middle_third
AMAT,low_cheat,2023-04-20,111.60748291015625,104.22161087167214,133.76509902560858,2023-05-19,122.40529570123311,trailing_stop,9.674810782865768,21,15.44716924512187,4.580833516615551,6.617721183112532,95.66666666666666,63.628583072112754,lower_third
LRCX,low_cheat,2023-04-19,47.83769607543945,46.090392756572825,53.07960603203934,2023-04-20,49.65515458700363,trailing_stop,3.7992183166556908,1,9.26233507016389,0.0,3.652565784337005,89.33333333333334,68.4135033875175,lower_third
LRCX,low_cheat,2024-04-26,91.11898040771484,82.79357799268136,116.09518765281528,2024-06-10,94.33936160561129,trailing_stop,3.534259474246467,30,8.983431025522604,6.838353283359281,9.136847644454752,100.0,57.12264143174437,lower_third
KLAC,low_cheat,2023-04-20,365.9950866699219,344.1262274526935,431.60166432160696,2023-05-24,398.76940151340875,trailing_stop,8.954851045048287,24,14.689316889524518,5.277994448814583,5.975178359962826,95.66666666666666,71.87463569274058,lower_third
ORCL,cheat,2023-12-11,112.61894226074219,106.97303299428441,129.55667006011552,2023-12-12,106.97303299428441,stop,-5.013285645487619,1,0.0,12.542328664895855,5.013285645487619,92.66666666666666,33.056345090310856,middle_third
PANW,cheat,2024-11-01,181.32000732421875,174.97900299072265,200.34302032470706,2024-11-15,194.051749420166,trailing_stop,7.0216973205729,10,12.654418232182007,1.8310209519693195,3.497134390777812,100.0,30.52829958357901,middle_third
JPM,low_cheat,2023-03-16,122.33056640625,115.54704104399875,142.68114249300376,2023-03-24,115.54704104399875,stop,-5.545241521831682,6,0.7495312573386562,5.843196721185018,5.545241521831682,96.66666666666666,36.90760225864882,lower_third
LLY,cheat,2021-12-14,240.2430419921875,226.08223726102796,282.72545618566613,2021-12-15,252.17234638045852,trailing_stop,4.965515042329073,1,10.490015834030604,0.0,5.8943662275222275,99.0,44.334159890976245,middle_third
ABBV,low_cheat,2022-06-17,121.50700378417969,116.90681429817415,135.30757224219627,2022-07-20,130.74129549012952,trailing_stop,7.59980200182678,21,13.262949475607142,0.0,3.785945947754891,92.33333333333334,41.59857439729468,lower_third
ABBV,low_cheat,2024-05-31,153.15147399902344,142.9582190588466,183.73123881955397,2024-07-25,169.4778766548063,trailing_stop,10.660297435914304,37,16.4845236167519,1.4946584091540656,6.655668844716336,96.66666666666666,35.37020635209795,lower_third
MRK,cheat,2023-03-20,98.1043930053711,93.99872467114058,110.42139800806264,2023-04-27,102.893271804841,trailing_stop,4.8814111710652215,27,10.40148544322656,3.221549522119576,4.184999477042516,100.0,33.79976001245843,middle_third
HD,cheat,2024-06-21,345.4619445800781,325.1266733493185,406.46775827235706,2024-06-25,325.1266733493185,stop,-5.886399804608848,2,0.5311986148583596,5.978071903712914,5.886399804608848,92.33333333333334,32.937925719222946,middle_third
TMO,cheat,2024-06-21,562.2579345703125,538.4330068245358,633.7327178076425,2024-07-01,538.4330068245358,stop,-4.237366212356631,6,1.223878706400542,4.463328393312885,4.237366212356631,92.66666666666666,30.224334098182286,middle_third
TGT,cheat,2021-12-03,218.4391632080078,207.7236007510539,250.58585057886953,2021-12-13,207.7236007510539,stop,-4.905513415994023,6,0.5170347871880516,6.127559886490165,4.905513415994023,96.0,32.14021843719291,middle_third
CAT,cheat,2023-12-01,248.947509765625,233.75412285966576,294.52767048350273,2023-12-14,262.93548691526667,trailing_stop,5.618845981954523,9,11.177732612583718,1.690293547820789,6.103048357568736,92.33333333333334,43.64562316037774,middle_third
UNP,low_cheat,2024-05-31,226.20840454101562,213.48726627496558,264.37181933916577,2024-06-14,213.48726627496558,stop,-5.623636439088839,10,0.2920687598667529,6.129192475741202,5.623636439088839,86.0,30.07524121060915,lower_third
UPS,cheat,2023-02-28,158.0463409423828,149.45350990378736,183.82483405816916,2023-04-25,162.7403417461739,trailing_stop,2.970015487737437,39,8.389489987092045,3.4358181241557677,5.436906028547691,93.33333333333334,35.203739589869684,middle_third
LMT,low_cheat,2022-06-24,384.1595458984375,354.5727457390633,472.9199463765601,2022-07-19,354.5727457390633,stop,-7.701695942548891,16,3.799173610459107,10.82712201175089,7.701695942548891,96.66666666666666,47.25616250225689,lower_third
XOM,cheat,2024-08-02,110.93025207519531,107.31648222088724,121.77156163811954,2024-09-06,107.31648222088724,stop,-3.2576955219198815,24,3.9272193196224587,3.636610577272702,3.2576955219198815,93.33333333333334,30.41672892576539,middle_third
CVX,cheat,2023-01-20,159.47898864746094,151.77955610361698,182.5772862789928,2023-01-31,151.77955610361698,stop,-4.827866422494107,7,3.8197901458495527,5.240453840573673,4.827866422494107,96.66666666666666,32.984069290500145,middle_third
CVX,cheat,2023-02-07,153.4754180908203,144.12492964727016,181.52688342147076,2023-02-17,144.12492964727016,stop,-6.092499085434595,8,0.0,6.208989437758622,6.092499085434595,96.66666666666666,41.89941701977929,middle_third
COP,low_cheat,2023-02-10,104.34426879882812,94.85426974116118,132.81426597182897,2023-02-17,94.85426974116118,stop,-9.09489248131425,5,0.0,9.934500765567075,9.09489248131425,96.66666666666666,80.22116647182399,lower_third
COP,low_cheat,2023-12-11,105.4563217163086,101.11734631695687,118.47324791436377,2024-01-08,108.29393387632379,trailing_stop,2.6907937938976745,18,8.09557241462913,2.193297508345026,4.114476333646588,92.66666666666666,30.669920501949395,lower_third
